category,group,pc1_mean,pc1_std,n,variance_explained,n_features
Current mood disorder,GR,-0.08400135427903581,1.492048850466753,49,0.4742735173936627,4
Current mood disorder,No_GR,0.0462479366255368,1.3076206543676028,89,0.4742735173936627,4
Clinical,GR,0.05460015355942281,1.735265967487405,49,0.20552024804388141,15
Clinical,No_GR,-0.030060758701255262,1.7662699861415831,89,0.20552024804388141,15
Biological,GR,-0.02381926903464387,1.5563561550913942,49,0.337218981786058,9
Biological,No_GR,0.01311397958087129,1.8362543989100275,89,0.337218981786058,9
Family history,GR,-0.09723664957407097,1.4282950035858666,49,0.27544465015846986,7
Family history,No_GR,0.05353478459696032,1.3632407804196618,89,0.27544465015846986,7
Past medication < 2y,GR,-0.13379193583245347,1.4600839539737231,49,0.36560828420446484,5
Past medication < 2y,No_GR,0.07366072871674412,1.2827694952436335,89,0.36560828420446484,5
Any physical comorbidity,GR,-0.05226094257355162,0.9348951509363607,49,0.5026980604746193,2
Any physical comorbidity,No_GR,0.028772878495551026,1.0370102671548243,89,0.5026980604746193,2
Characteristics of BD < 2y,GR,0.08233165890359402,1.972401552706038,49,0.128908040828632,30
Characteristics of BD < 2y,No_GR,-0.04532866613793398,1.9618159691873007,89,0.128908040828632,30
Characteristics of BD during lifetime,GR,0.048103047319991564,1.658765129217588,49,0.1234587465168678,24
Characteristics of BD during lifetime,No_GR,-0.02648370020988289,1.7542756047802566,89,0.1234587465168678,24
QIDS / BRMS / SSRS / BPRS (psychiatric scales),GR,-0.2826129448220676,1.2496346593814023,49,0.34466904478561416,6
QIDS / BRMS / SSRS / BPRS (psychiatric scales),No_GR,0.15559589096945292,1.5095199243582635,89,0.34466904478561416,6
MARS (medication adherence),GR,-0.23561153520576697,1.820689231892364,49,0.30019142381604497,11
MARS (medication adherence),No_GR,0.12971871039418634,1.8021282726743288,89,0.30019142381604497,11
TRQ (medication adherence),GR,-0.05523998154886628,1.9026907104660924,49,0.5112686915566638,7
TRQ (medication adherence),No_GR,0.03041302354937581,1.8850754729566166,89,0.5112686915566638,7
BMQ (belief in medication),GR,0.005340644225706858,2.6701269806620345,49,0.2800076240670298,22
BMQ (belief in medication),No_GR,-0.0029403546860633924,2.372008235225041,89,0.2800076240670298,22
WHOA (substance use),GR,0.2934345739910613,1.8979839757386323,49,0.3835776861015769,8
WHOA (substance use),No_GR,-0.16155386657934848,1.6435539472453666,89,0.3835776861015769,8
